standard_code,raw_title,canonical_title_expanded,standard_kind,old_canonical_product,new_canonical_product,product_subtype,primary_subject,material,application,function,applies_to_product_families,confidence,evidence,resolution_status,review_required,notes
IS 13356: 1992,PRECAST FERROCEMENT WATER TANKS,PRECAST FERROCEMENT WATER TANKS UP TO 10 000 LITRES CAPACITY,material_standard,,water_tank,,PRECAST FERROCEMENT WATER TANKS UP TO 10 000 LITRES CAPACITY,steel,,,pipe_water_drainage; water_storage; wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1341: 1992,STEEL BUTT HINGES,,material_standard,,hinge,,STEEL BUTT HINGES,steel,,,hardware,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1361: 1978,STEEL WINDOWS FOR INDUSTRIAL BUILDINGS,,material_standard,,window,,STEEL WINDOWS FOR INDUSTRIAL BUILDINGS,steel,door and window construction,,door_window,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 13620: 1993,FUSION BONDED  EPOXY COATED,FUSION BONDED EPOXY COATED REINFORCING BARS,material_standard,,coating,,FUSION BONDED EPOXY COATED REINFORCING BARS,steel,,,coating,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1363 (Part 1): 2002,ISO 4016 : 1999,"ISO 4016 : 1999 HEXAGON HEAD BOLTS, SCREWS AND NUTS OF PRODUCT GRADE C PART 1 : HEXAGON HEAD BOLTS (SIZE RANGE M5 TO M64)",product_standard,,bolt,,"ISO 4016 : 1999 HEXAGON HEAD BOLTS, SCREWS AND NUTS OF PRODUCT GRADE C PART 1 : HEXAGON HEAD BOLTS (SIZE RANGE M5 TO M64)",steel,,,fastener,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 13757: 1993,BURNT CLAY FLY ASH BUILDING BRICKS,BURNT CLAY FLY ASH BUILDING BRICKS * Heavy duty burnt clay building bricks (third revision). ** Common burnt day building bricks (fifth revision).,product_standard,,brick,,BURNT CLAY FLY ASH BUILDING BRICKS * Heavy duty burnt clay building bricks (third revision). ** Common burnt day building bricks (fifth revision),clay,,,masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 13957: 1994,METAL FACED PLYWOOD,METAL FACED PLYWOOD 1. Scope – Covers manufacture and requirements of metal faced plywood composite. The scope is limited to the use of galvanized iron sheet or aluminium sheet,product_standard,,board,plywood,plywood,aluminium,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""], ""product_subtype"": [""title"", ""scope"", ""full_text_summary_heading""]}",RESOLVED_PRODUCT,False,
IS 13958: 1994,BAMBOO MAT BOARD FOR GENERAL PURPOSES,BAMBOO MAT BOARD FOR GENERAL PURPOSES 1. Scope – Covers the method of manufacture and the requirements of bamboo mat board used for general purposes.,product_standard,,board,,BAMBOO MAT BOARD FOR GENERAL PURPOSES 1. Scope – Covers the method of manufacture and the requirements of bamboo mat board used for general purposes,timber,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1395: 1982,LOW AND MEDIUM ALLOY STEEL COVERED,LOW AND MEDIUM ALLOY STEEL COVERED ELECTRODES FOR MANUAL METAL ARC WELDING,material_standard,,electrode,,LOW AND MEDIUM ALLOY STEEL COVERED ELECTRODES FOR MANUAL METAL ARC WELDING,steel,,,welding,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 13983: 1994,STAINLESS STEELSINKS FOR,STAINLESS STEELSINKS FOR DOMESTIC PURPOSES,installation,,,,STAINLESS STEELSINKS FOR DOMESTIC PURPOSES,steel,potable water supply,,sanitary_fixture,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_NON_PRODUCT,False,
IS 13990: 1994,PRECAST REINFORCED CONCRETE,PRECAST REINFORCED CONCRETE PLANKS AND JOISTS FOR ROOFING AND FLOORING 2.3 Tolerances — Casting tolerances on various dimensions of plank shall be as given below — Dimension,product_standard,,waterproofing_membrane,,PRECAST REINFORCED CONCRETE PLANKS AND JOISTS FOR ROOFING AND FLOORING 2.3 Tolerances — Casting tolerances on various dimensions of plank shall be as given below — Dimension,steel,roofing,roofing,,high,"{""application"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""function"": [""title"", ""full_text_summary_heading""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 14143: 1994,PREFABRICATED BRICK PANEL AND PARTIALLY,PREFABRICATED BRICK PANEL AND PARTIALLY PRECAST CONCRETE JOIST FOR FLOORING AND ROOFING 2.2.1 Shape— Partially precast joist shall be rectangular in shape with steel stirrups kept projecting out which shall be tied with reinforcement along the joist to achieve,material_standard,,brick,,PREFABRICATED BRICK PANEL AND PARTIALLY PRECAST CONCRETE JOIST FOR FLOORING AND ROOFING 2.2.1 Shape— Partially precast joist shall be rectangular in shape with steel stirrups kept projecting out which shall be tied with reinforcement along ,steel,roofing,roofing,masonry_unit,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""title"", ""scope"", ""full_text_summary_heading""], ""material"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 14201: 1994,PRECAST REINFORCED CONCRETE CHANNEL,PRECAST REINFORCED CONCRETE CHANNEL UNITS FOR CONSTRUCTION OF FLOORS AND ROOFS 2.3 Tolerances on Dimensions 2.3.1 Dimension,product_standard,,channel,,PRECAST REINFORCED CONCRETE CHANNEL UNITS FOR CONSTRUCTION OF FLOORS AND ROOFS 2.3 Tolerances on Dimensions 2.3.1 Dimension,steel,,,precast_concrete,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 14223 (Part 1): 1995,POLISHED BUILDING STONES,POLISHED BUILDING STONES PART 1 GRANITE,product_standard,,stone,,POLISHED BUILDING STONES PART 1 GRANITE,clay,sewerage,,stone,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 14241: 1995,PRECAST REINFORCED CONCRETE  L–PANEL,"PRECAST REINFORCED CONCRETE L–PANEL FOR ROOFING 2.2 Dimensions 2.2.1 Length— The maximum span of L-panels shall be restricted to 4 m. Lower lengths may be preferred,",product_standard,,channel,,PRECAST REINFORCED CONCRETE L–PANEL FOR ROOFING 2.2 Dimensions 2.2.1 Length— The maximum span of L-panels shall be restricted to 4 m. Lower lengths may be preferred,steel,roofing,roofing,precast_concrete,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""title"", ""full_text_summary_heading""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 14268: 1995,UNCOATED STRESS RELIEVED  LOW,UNCOATED STRESS RELIEVED LOW RELAXATION SEVEN- PLY STRAND FOR PRESTRESSED CONCRETE . TABLE 1 PHYSICAL PROPERTIES,material_standard,,steel_sheet,,UNCOATED STRESS RELIEVED LOW RELAXATION SEVEN- PLY STRAND FOR PRESTRESSED CONCRETE . TABLE 1 PHYSICAL PROPERTIES,steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 14443: 1997,POLYCARBONATE SHEETS,,material_standard,,glass,,POLYCARBONATE SHEETS,polycarbonate,,,glass,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 14587: 1998,PRE-LAMINATED MEDIUM DENSITY FIBRE,PRE-LAMINATED MEDIUM DENSITY FIBRE BOARD TABLE 1 PHYSICAL AND MECHANICAL PROPERTIES PROPERTY REQUIREMENT,other,,board,medium_density_fibre_board,medium density fibre board,timber,thermal insulation,,wood_board,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""], ""product_subtype"": [""title"", ""scope"", ""full_text_summary_heading""]}",RESOLVED_PRODUCT,False,
IS 14588: 1999,BAMBOO MAT-VEENER COMPOSITE FOR,BAMBOO MAT-VEENER COMPOSITE FOR GENERAL PURPOSES 1. Scope – Covers the method of manufacture and the requirement of bamboo mat-veneer composites for,product_standard,,board,,BAMBOO MAT-VEENER COMPOSITE FOR GENERAL PURPOSES 1. Scope – Covers the method of manufacture and the requirement of bamboo mat-veneer composites for,timber,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 14616: 1999,LAMINATED  VENEER LUMBER,LAMINATED VENEER LUMBER 1. Scope—Covers laminated veneer lumber (LVL) of density range 0.6 to 0.75 in which most natural structural wood fall. Its applications include all the end,product_standard,,door,,LAMINATED VENEER LUMBER 1. Scope—Covers laminated veneer lumber (LVL) of density range 0.6 to 0.75 in which most natural structural wood fall. Its applications include all the end,timber,,,door_window,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 14695: 1999,GLASS FIBRE BASE COAL,"GLASS FIBRE BASE COAL TAR PITCH OUTER WRAP Note— For test procedure, refer to IS 13826 : 1993 Methods of test for bitumen based felts",test_method,,,,"GLASS FIBRE BASE COAL TAR PITCH OUTER WRAP Note— For test procedure, refer to IS 13826 : 1993 Methods of test for bitumen based felts",HDPE,potable water supply,,glass,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_NON_PRODUCT,False,
IS 14753: 1999,POLYMETHYL METHACRYLATE (PMMA),,product_standard,,adhesive,,POLYMETHYL METHACRYLATE (PMMA),PVC,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 14772: 2000,GENERAL REQUIREMENTS FOR ENCLOSURES,GENERAL REQUIREMENTS FOR ENCLOSURES FOR ACCESSORIES FOR HOUSEHOLD AND SIMILAR FIXED ELECTRICAL INSTALLATIONS – SPECIFICAION 1. Scope – This standard applies to enclosures or parts,installation,,,,GENERAL REQUIREMENTS FOR ENCLOSURES FOR ACCESSORIES FOR HOUSEHOLD AND SIMILAR FIXED ELECTRICAL INSTALLATIONS – SPECIFICAION 1. Scope – This standard applies to enclosures or parts,concrete,thermal insulation,thermal_insulation,pipe_water_drainage,high,"{""application"": [""scope"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""full_text_repeated_terms""], ""function"": [""scope""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_NON_PRODUCT,False,
IS 14842: 2000,COIR VENEER BOARD FOR,COIR VENEER BOARD FOR GENERAL PURPOSES 1. Scope – Covers the method of manufacture and the requirement of coir veneer board (coconut fibre,product_standard,,board,,COIR VENEER BOARD FOR GENERAL PURPOSES 1. Scope – Covers the method of manufacture and the requirement of coir veneer board (coconut fibre,timber,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 14856: 2000,GLASS FIBRE REINFORCED PLASTIC (GRP),"GLASS FIBRE REINFORCED PLASTIC (GRP) PANEL TYPE DOOR SHUTTERS FOR INTERNAL USE 1. Scope – Requirements regarding types, sizes, material, construction, workmanship, finish,",material_standard,,glass,,"GLASS FIBRE REINFORCED PLASTIC (GRP) PANEL TYPE DOOR SHUTTERS FOR INTERNAL USE 1. Scope – Requirements regarding types, sizes, material, construction, workmanship, finish",steel,flooring,,door_window; glass,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 14912: 2001,DOOR CLOSERS - CONCEALED TYPE,,other,,door,,DOOR CLOSERS - CONCEALED TYPE,cast iron,door and window construction,,door_window; hardware,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 15380: 2003,MOULDED RAISED HIGH DENSITY FIBRE (HDF),"MOULDED RAISED HIGH DENSITY FIBRE (HDF) PANEL DOORS 1. Scope – This standard lays down requirements regarding types, sizes, material, construction,",material_standard,,door,,"MOULDED RAISED HIGH DENSITY FIBRE (HDF) PANEL DOORS 1. Scope – This standard lays down requirements regarding types, sizes, material, construction",timber,door and window construction,,door_window,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 15476: 2004,BAMBOO MAT CORRUGATED SHEETS,"BAMBOO MAT CORRUGATED SHEETS 1. Scope This standard covers the requirement of bamboo mat corrugated sheets (BMCS) for roofs of industrial,",product_standard,,roofing_sheet,,BAMBOO MAT CORRUGATED SHEETS 1. Scope This standard covers the requirement of bamboo mat corrugated sheets (BMCS) for roofs of industrial,bamboo,,,roofing,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 15491: 2004,MEDIUM DENSITY COIRBOARDS FOR,MEDIUM DENSITY COIRBOARDS FOR GENERAL PURPOSES 1. Scope 1.1 This standard covers the requirement of medium,product_standard,,board,,MEDIUM DENSITY COIRBOARDS FOR GENERAL PURPOSES 1. Scope 1.1 This standard covers the requirement of medium,steel,door and window construction,,wood_board,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1566: 1982,HARD - DRAWN  STEEL WIRE FABRIC FOR CON-,HARD - DRAWN STEEL WIRE FABRIC FOR CON- CRETE REINFORCEMENT,material_standard,,wire_fabric,,HARD - DRAWN STEEL WIRE FABRIC FOR CON- CRETE REINFORCEMENT,steel,,,reinforcement,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1580: 1991,BITUMINOUS COMPOUNDS FOR,BITUMINOUS COMPOUNDS FOR WATER-PROOFING AND CAULKING PURPOSES,material_standard,,waterproofing_membrane,,BITUMINOUS COMPOUNDS FOR WATER-PROOFING AND CAULKING PURPOSES,steel,waterproofing,waterproofing,adhesive; sealant; waterproofing,high,"{""application"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""title"", ""full_text_summary_heading""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1659: 2004,BLOCK BOARDS,,product_standard,,board,,BLOCK BOARDS,timber,flooring,,masonry_unit; wood_board,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1700: 1973,DRINKING FOUNTAINS,,material_standard,,pipe_fitting,,DRINKING FOUNTAINS,cast iron,water supply,,,high,"{""application"": [""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1711: 1984,SELF–CLOSING TAPS FOR,SELF–CLOSING TAPS FOR WATER SUPPLY PURPOSES,product_standard,,washer,,SELF–CLOSING TAPS FOR WATER SUPPLY PURPOSES,cast iron,water supply,,,high,"{""application"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1726: 1991,CAST IRON MANHOLE COVERS AND FRAMES,,product_standard,,coating,,CAST IRON MANHOLE COVERS AND FRAMES,cast iron,water supply,,,high,"{""application"": [""scope"", ""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1730: 1989,"STEEL  PLATES SHEETS STRIPS AND FLATS, FOR","STEEL PLATES SHEETS STRIPS AND FLATS, FOR STRUCTURAL AND GENERAL ENGINEERING PURPOSES",material_standard,,flats_structural_engineering_purposes,,"STEEL PLATES SHEETS STRIPS AND FLATS, FOR STRUCTURAL AND GENERAL ENGINEERING PURPOSES",steel,,,,high,"{""canonical_product"": [""title""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 1732: 1989,"STEEL BARS, ROUND AND SQUARE FOR","STEEL BARS, ROUND AND SQUARE FOR STRUCTURAL AND GENERAL ENGIINEERING PURPOSES-DIMENSIONS",material_standard,,rivet,,"STEEL BARS, ROUND AND SQUARE FOR STRUCTURAL AND GENERAL ENGIINEERING PURPOSES-DIMENSIONS",steel,,,fastener,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1785 (Part I): 1983,PLAIN HARD-DRAWN STEEL WIRE FOR,PLAIN HARD-DRAWN STEEL WIRE FOR PRESTRESSED CONCRETE PART I COLD DRAWN STRESS-RELIEVED WIRE,material_standard,,pipe_fitting,,PLAIN HARD-DRAWN STEEL WIRE FOR PRESTRESSED CONCRETE PART I COLD DRAWN STRESS-RELIEVED WIRE,steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1786: 1985,PLAIN HIGH STRENGTH DEFORMED STEEL BARS,PLAIN HIGH STRENGTH DEFORMED STEEL BARS AND WIRES FOR CONCRETE REINFORCEMENT,material_standard,,pipe_fitting,,PLAIN HIGH STRENGTH DEFORMED STEEL BARS AND WIRES FOR CONCRETE REINFORCEMENT,steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1795: 1982,PILLAR TAPS FOR WATER SUPPLY PURPOSES,,material_standard,,pipe,,PILLAR TAPS FOR WATER SUPPLY PURPOSES,,water supply,,,high,"{""application"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1823: 1980,FLOOR DOOR STOPPERS,,product_standard,,door,,FLOOR DOOR STOPPERS,steel,flooring,,door_window,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1826: 1961,VENETIAN BLINDS FOR WINDOWS,"VENETIAN BLINDS FOR WINDOWS 1. Scope – Covers material, constructional details, sizes and requirements of open head custom made Venetian blinds made of either wood or metal slats.",material_standard,,window,,"VENETIAN BLINDS FOR WINDOWS 1. Scope – Covers material, constructional details, sizes and requirements of open head custom made Venetian blinds made of either wood or metal slats",aluminium,,,door_window,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1834: 1984,HOT APPLIED SEALING COMPOUNDS,HOT APPLIED SEALING COMPOUNDS FOR JOINTS IN CONCRETE,material_standard,,sealant,,HOT APPLIED SEALING COMPOUNDS FOR JOINTS IN CONCRETE,bitumen,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1838 (Part 2): 1984,PREFORMED  FILLERS FOR  EXPANSION,PREFORMED FILLERS FOR EXPANSION JOINT IN CONCRETE PAVEMENT AND STRUCTURES,material_standard,,paint,,PREFORMED FILLERS FOR EXPANSION JOINT IN CONCRETE PAVEMENT AND STRUCTURES,concrete,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1863: 1979,ROLLED  STEEL BULB FLATS,,material_standard,,rolled_steel_bulb_flats,,ROLLED STEEL BULB FLATS,steel,,,,high,"{""canonical_product"": [""title""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 190: 1991,CONIFEROUS SAWN TIMBER,,material_standard,,timber,,CONIFEROUS SAWN TIMBER,timber,,,timber,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1929: 1982,HOT FORGED STEEL RIVETS FOR HOT CLOSING,,material_standard,,rivet,,HOT FORGED STEEL RIVETS FOR HOT CLOSING,steel,,,fastener,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1949: 1961,ALUMINIUM WINDOWS FOR,ALUMINIUM WINDOWS FOR INDUSTRIAL BUILDINGS 1. Scope – Deals with aluminium windows suitable for use in industrial buildings and designed to suit,other,,window,,ALUMINIUM WINDOWS FOR INDUSTRIAL BUILDINGS 1. Scope – Deals with aluminium windows suitable for use in industrial buildings and designed to suit,steel,door and window construction,,door_window,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
