query_id,query,positive_standard,positive_title,product,description,style,specificity,source_fields,hard_negative_codes,review_status,review_notes
fcq_is_12118_part_1_1987_05,polysulphide for clay,IS 12118 (Part 1): 1987,TWO-PARTS POLYSULPHIDE BASED SEALANTS PART 1 GENERAL REQUIREMENTS the original profile in a horizontal position. 4.2 Plastic Deformation— The sealant shall have a,polysulphide,clay,alias,general_but_sufficient,product_aliases;material,IS 11433 (Part 1): 1985;IS 1834: 1984;IS 3951 (Part 1): 1975;IS 5246: 2000,generated_from_metadata,
fcq_is_12118_part_1_1987_06,sealants for clay,IS 12118 (Part 1): 1987,TWO-PARTS POLYSULPHIDE BASED SEALANTS PART 1 GENERAL REQUIREMENTS the original profile in a horizontal position. 4.2 Plastic Deformation— The sealant shall have a,sealants,clay,alias,general_but_sufficient,product_aliases;material,IS 11433 (Part 1): 1985;IS 1834: 1984;IS 3951 (Part 1): 1975;IS 5246: 2000,generated_from_metadata,
fcq_is_12118_part_1_1987_07,sealing compound for clay,IS 12118 (Part 1): 1987,TWO-PARTS POLYSULPHIDE BASED SEALANTS PART 1 GENERAL REQUIREMENTS the original profile in a horizontal position. 4.2 Plastic Deformation— The sealant shall have a,sealing compound,clay,alias,general_but_sufficient,product_aliases;material,IS 11433 (Part 1): 1985;IS 1834: 1984;IS 3951 (Part 1): 1975;IS 5246: 2000,generated_from_metadata,
fcq_is_12269_1987_01,ordinary portland 53 grade standard,IS 12269: 1987,53 GRADE ORDINARY PORTLAND CEMENT 3.2 Soundness — unaerated cement not more than 10 mm by ‘Le Chatelier’ method and 0.8 percent by autoclave method 3.3 Setting Time —,cement,ordinary portland 53 grade,product_only,specific,product_subtype,IS 8112: 1989;IS 269: 1989;IS 2547 (Part 1): 1976;IS 1077: 1992,generated_from_metadata,
fcq_is_12269_1987_02,concrete cement,IS 12269: 1987,53 GRADE ORDINARY PORTLAND CEMENT 3.2 Soundness — unaerated cement not more than 10 mm by ‘Le Chatelier’ method and 0.8 percent by autoclave method 3.3 Setting Time —,cement,concrete construction or composition,product_material,specific,canonical_product;material,IS 8112: 1989;IS 269: 1989;IS 2547 (Part 1): 1976;IS 1077: 1992,generated_from_metadata,
fcq_is_12269_1987_03,Supply cement meeting Indian Standard requirements for concrete,IS 12269: 1987,53 GRADE ORDINARY PORTLAND CEMENT 3.2 Soundness — unaerated cement not more than 10 mm by ‘Le Chatelier’ method and 0.8 percent by autoclave method 3.3 Setting Time —,cement,concrete,tender_sentence,specific,canonical_product;material,IS 8112: 1989;IS 269: 1989;IS 2547 (Part 1): 1976;IS 1077: 1992,generated_from_metadata,
fcq_is_12269_1987_04,Need the Indian Standard covering 53 GRADE ORDINARY PORTLAND CEMENT 3.2 Soundness — unaerated cement not more than 10 mm by ‘Le Chatelier’ method and 0.8 percent by autoclave method 3.3 Setting Time —,IS 12269: 1987,53 GRADE ORDINARY PORTLAND CEMENT 3.2 Soundness — unaerated cement not more than 10 mm by ‘Le Chatelier’ method and 0.8 percent by autoclave method 3.3 Setting Time —,cement,53 GRADE ORDINARY PORTLAND CEMENT 3.2 Soundness — unaerated cement not more than 10 mm by ‘Le Chatelier’ method and 0.8 percent by autoclave method 3.3 Setting Time —,natural_language,specific,title,IS 8112: 1989;IS 269: 1989;IS 2547 (Part 1): 1976;IS 1077: 1992,generated_from_metadata,
fcq_is_12269_1987_05,lime pozzolana mixture for concrete,IS 12269: 1987,53 GRADE ORDINARY PORTLAND CEMENT 3.2 Soundness — unaerated cement not more than 10 mm by ‘Le Chatelier’ method and 0.8 percent by autoclave method 3.3 Setting Time —,lime pozzolana mixture,concrete,alias,general_but_sufficient,product_aliases;material,IS 8112: 1989;IS 269: 1989;IS 2547 (Part 1): 1976;IS 1077: 1992,generated_from_metadata,
fcq_is_12269_1987_06,lime-pozzolana concrete for concrete,IS 12269: 1987,53 GRADE ORDINARY PORTLAND CEMENT 3.2 Soundness — unaerated cement not more than 10 mm by ‘Le Chatelier’ method and 0.8 percent by autoclave method 3.3 Setting Time —,lime-pozzolana concrete,concrete,alias,general_but_sufficient,product_aliases;material,IS 8112: 1989;IS 269: 1989;IS 2547 (Part 1): 1976;IS 1077: 1992,generated_from_metadata,
fcq_is_12269_1987_07,masonry cement for concrete,IS 12269: 1987,53 GRADE ORDINARY PORTLAND CEMENT 3.2 Soundness — unaerated cement not more than 10 mm by ‘Le Chatelier’ method and 0.8 percent by autoclave method 3.3 Setting Time —,masonry cement,concrete,alias,general_but_sufficient,product_aliases;material,IS 8112: 1989;IS 269: 1989;IS 2547 (Part 1): 1976;IS 1077: 1992,generated_from_metadata,
fcq_is_12313_1988_01,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C standard,IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,steel sheet,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,product_only,specific,primary_subject,IS 513: 1994;IS 1079: 1994;IS 8363: 1976;IS 10889: 1984,generated_from_metadata,
fcq_is_12313_1988_02,steel sheet required to roofing,IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,steel sheet,required to roofing,product_function,specific,canonical_product;function,IS 513: 1994;IS 1079: 1994;IS 8363: 1976;IS 10889: 1984,generated_from_metadata,
fcq_is_12313_1988_03,steel sheet for roofing,IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,steel sheet,for roofing,product_application,specific,canonical_product;application,IS 513: 1994;IS 1079: 1994;IS 8363: 1976;IS 10889: 1984,generated_from_metadata,
fcq_is_12313_1988_04,steel steel sheet for roofing,IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,steel sheet,steel product for roofing,material_application,specific,canonical_product;material;application,IS 513: 1994;IS 1079: 1994;IS 8363: 1976;IS 10889: 1984,generated_from_metadata,
fcq_is_12313_1988_05,Supply steel sheet meeting Indian Standard requirements for roofing; roofing; steel,IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,steel sheet,roofing; roofing; steel,tender_sentence,specific,canonical_product;application;function;material,IS 513: 1994;IS 1079: 1994;IS 8363: 1976;IS 10889: 1984,generated_from_metadata,
fcq_is_12313_1988_06,Need the Indian Standard covering HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,steel sheet,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,natural_language,specific,title,IS 513: 1994;IS 1079: 1994;IS 8363: 1976;IS 10889: 1984,generated_from_metadata,
fcq_is_12313_1988_07,"steel sheet, roofing",IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,steel sheet,roofing,boq_short,general_but_sufficient,canonical_product;application,IS 513: 1994;IS 1079: 1994;IS 8363: 1976;IS 10889: 1984,generated_from_metadata,
fcq_is_12313_1988_08,carbon steel sheet for roofing,IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,carbon steel sheet,roofing,alias,general_but_sufficient,product_aliases;application,IS 513: 1994;IS 1079: 1994;IS 8363: 1976;IS 10889: 1984,generated_from_metadata,
fcq_is_12313_1988_09,carbon steel sheets for roofing,IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,carbon steel sheets,roofing,alias,general_but_sufficient,product_aliases;application,IS 513: 1994;IS 1079: 1994;IS 8363: 1976;IS 10889: 1984,generated_from_metadata,
fcq_is_12313_1988_10,steel sheets for roofing,IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,steel sheets,roofing,alias,general_but_sufficient,product_aliases;application,IS 513: 1994;IS 1079: 1994;IS 8363: 1976;IS 10889: 1984,generated_from_metadata,
fcq_is_12330_1988_01,SULPHATE RESISTING PORTLAND CEMENT standard,IS 12330: 1988,SULPHATE RESISTING PORTLAND CEMENT,cement,SULPHATE RESISTING PORTLAND CEMENT,product_only,specific,primary_subject,IS 8043: 1991;IS 3466: 1988;IS 2547 (Part 1): 1976;IS 6598: 1972,generated_from_metadata,
fcq_is_12330_1988_02,Need the Indian Standard covering SULPHATE RESISTING PORTLAND CEMENT,IS 12330: 1988,SULPHATE RESISTING PORTLAND CEMENT,cement,SULPHATE RESISTING PORTLAND CEMENT,natural_language,specific,title,IS 8043: 1991;IS 3466: 1988;IS 2547 (Part 1): 1976;IS 6598: 1972,generated_from_metadata,
fcq_is_1239_part_1_2004_01,"STEEL TUBES, TUBULARS ANDOTHER WROUGHT STEEL FITTINGS PART 1 STEEL TUBES standard",IS 1239 (Part 1): 2004,"STEEL TUBES, TUBULARS ANDOTHER WROUGHT STEEL FITTINGS PART 1 STEEL TUBES",pipe,"STEEL TUBES, TUBULARS ANDOTHER WROUGHT STEEL FITTINGS PART 1 STEEL TUBES",product_only,specific,primary_subject,IS 4270: 2001;IS 432 (Part 1): 1982;IS 11587: 1986;IS 9739: 1981,generated_from_metadata,
fcq_is_1239_part_1_2004_02,"Need the Indian Standard covering STEEL TUBES, TUBULARS ANDOTHER WROUGHT STEEL FITTINGS PART 1 STEEL TUBES",IS 1239 (Part 1): 2004,"STEEL TUBES, TUBULARS ANDOTHER WROUGHT STEEL FITTINGS PART 1 STEEL TUBES",pipe,"STEEL TUBES, TUBULARS ANDOTHER WROUGHT STEEL FITTINGS PART 1 STEEL TUBES",natural_language,specific,title,IS 4270: 2001;IS 432 (Part 1): 1982;IS 11587: 1986;IS 9739: 1981,generated_from_metadata,
fcq_is_12406_2003_01,MEDIUM DENSITY FIBRE BOARDS FOR GENERAL PURPOSES 1. Scope — Requirements of medium density fibre boards for general purposes having density in the range standard,IS 12406: 2003,MEDIUM DENSITY FIBRE BOARDS FOR GENERAL PURPOSES 1. Scope — Requirements of medium density fibre boards for general purposes having density in the range,board,MEDIUM DENSITY FIBRE BOARDS FOR GENERAL PURPOSES 1. Scope — Requirements of medium density fibre boards for general purposes having density in the range,product_only,specific,primary_subject,IS 15491: 2004;IS 3087: 1985;IS 4895: 1985;IS 404 (Part 1): 1993,generated_from_metadata,
fcq_is_12406_2003_02,Need the Indian Standard covering MEDIUM DENSITY FIBRE BOARDS FOR GENERAL PURPOSES 1. Scope — Requirements of medium density fibre boards for general purposes having density in the range,IS 12406: 2003,MEDIUM DENSITY FIBRE BOARDS FOR GENERAL PURPOSES 1. Scope — Requirements of medium density fibre boards for general purposes having density in the range,board,MEDIUM DENSITY FIBRE BOARDS FOR GENERAL PURPOSES 1. Scope — Requirements of medium density fibre boards for general purposes having density in the range,natural_language,specific,title,IS 15491: 2004;IS 3087: 1985;IS 4895: 1985;IS 404 (Part 1): 1993,generated_from_metadata,
fcq_is_12427_2001_01,FASTENERS – THREADED STEEL FASTENERS – HEXAGON HEAD TRANSMISSION TOWER BOLTS standard,IS 12427: 2001,FASTENERS – THREADED STEEL FASTENERS – HEXAGON HEAD TRANSMISSION TOWER BOLTS,bolt,FASTENERS – THREADED STEEL FASTENERS – HEXAGON HEAD TRANSMISSION TOWER BOLTS,product_only,specific,primary_subject,IS 8412: 1977;IS 6639: 1972;IS 12313: 1988;IS 2372: 2004,generated_from_metadata,
fcq_is_12427_2001_02,Supply bolt meeting Indian Standard requirements for steel,IS 12427: 2001,FASTENERS – THREADED STEEL FASTENERS – HEXAGON HEAD TRANSMISSION TOWER BOLTS,bolt,steel,tender_sentence,specific,canonical_product;material,IS 8412: 1977;IS 6639: 1972;IS 12313: 1988;IS 2372: 2004,generated_from_metadata,
fcq_is_12427_2001_03,Need the Indian Standard covering FASTENERS – THREADED STEEL FASTENERS – HEXAGON HEAD TRANSMISSION TOWER BOLTS,IS 12427: 2001,FASTENERS – THREADED STEEL FASTENERS – HEXAGON HEAD TRANSMISSION TOWER BOLTS,bolt,FASTENERS – THREADED STEEL FASTENERS – HEXAGON HEAD TRANSMISSION TOWER BOLTS,natural_language,specific,title,IS 8412: 1977;IS 6639: 1972;IS 12313: 1988;IS 2372: 2004,generated_from_metadata,
fcq_is_12436_1988_01,"PREFORMED RIGID POLYURETHANE (PUR) AND POLYISOCYANURATE (PIR) FOAMS FOR THERMAL INSULATION 1. Scope – Requirements, and the methods of sampling and test for preformed rigid polyurethane (PUR) and standard",IS 12436: 1988,"PREFORMED RIGID POLYURETHANE (PUR) AND POLYISOCYANURATE (PIR) FOAMS FOR THERMAL INSULATION 1. Scope – Requirements, and the methods of sampling and test for preformed rigid polyurethane (PUR) and",thermal insulation,"PREFORMED RIGID POLYURETHANE (PUR) AND POLYISOCYANURATE (PIR) FOAMS FOR THERMAL INSULATION 1. Scope – Requirements, and the methods of sampling and test for preformed rigid polyurethane (PUR) and",product_only,specific,primary_subject,IS 9842: 1994;IS 4671: 1984;IS 3709: 1966;IS 12830: 1989,generated_from_metadata,
fcq_is_12436_1988_02,"Need the Indian Standard covering PREFORMED RIGID POLYURETHANE (PUR) AND POLYISOCYANURATE (PIR) FOAMS FOR THERMAL INSULATION 1. Scope – Requirements, and the methods of sampling and test for preformed rigid polyurethane (PUR) and",IS 12436: 1988,"PREFORMED RIGID POLYURETHANE (PUR) AND POLYISOCYANURATE (PIR) FOAMS FOR THERMAL INSULATION 1. Scope – Requirements, and the methods of sampling and test for preformed rigid polyurethane (PUR) and",thermal insulation,"PREFORMED RIGID POLYURETHANE (PUR) AND POLYISOCYANURATE (PIR) FOAMS FOR THERMAL INSULATION 1. Scope – Requirements, and the methods of sampling and test for preformed rigid polyurethane (PUR) and",natural_language,specific,title,IS 9842: 1994;IS 4671: 1984;IS 3709: 1966;IS 12830: 1989,generated_from_metadata,
fcq_is_12440_1988_01,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcem standard",IS 12440: 1988,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcement required",block,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcem",product_only,specific,primary_subject,IS 9893: 1981;IS 3620: 1979;IS 9197: 1979;IS 2372: 2004,generated_from_metadata,
fcq_is_12440_1988_02,concrete block,IS 12440: 1988,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcement required",block,concrete construction or composition,product_material,specific,canonical_product;material,IS 9893: 1981;IS 3620: 1979;IS 9197: 1979;IS 2372: 2004,generated_from_metadata,
fcq_is_12440_1988_03,Supply block meeting Indian Standard requirements for concrete,IS 12440: 1988,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcement required",block,concrete,tender_sentence,specific,canonical_product;material,IS 9893: 1981;IS 3620: 1979;IS 9197: 1979;IS 2372: 2004,generated_from_metadata,
fcq_is_12440_1988_04,"Need the Indian Standard covering PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcement required",IS 12440: 1988,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcement required",block,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcement required",natural_language,specific,title,IS 9893: 1981;IS 3620: 1979;IS 9197: 1979;IS 2372: 2004,generated_from_metadata,
fcq_is_12440_1988_05,blocks for concrete,IS 12440: 1988,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcement required",blocks,concrete,alias,general_but_sufficient,product_aliases;material,IS 9893: 1981;IS 3620: 1979;IS 9197: 1979;IS 2372: 2004,generated_from_metadata,
fcq_is_12440_1988_06,concrete block for concrete,IS 12440: 1988,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcement required",concrete block,concrete,alias,general_but_sufficient,product_aliases;material,IS 9893: 1981;IS 3620: 1979;IS 9197: 1979;IS 2372: 2004,generated_from_metadata,
fcq_is_12440_1988_07,masonry block for concrete,IS 12440: 1988,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcement required",masonry block,concrete,alias,general_but_sufficient,product_aliases;material,IS 9893: 1981;IS 3620: 1979;IS 9197: 1979;IS 2372: 2004,generated_from_metadata,
fcq_is_12583_1988_01,CORRUGATED BITMEN ROOFING SHEETS ± ± ± ± standard,IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,roofing sheet,CORRUGATED BITMEN ROOFING SHEETS ± ± ± ±,product_only,specific,primary_subject,IS 1254: 1991;IS 15476: 2004;IS 277: 2003;IS 412: 1975,generated_from_metadata,
fcq_is_12583_1988_02,roofing sheet required to roofing,IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,roofing sheet,required to roofing,product_function,specific,canonical_product;function,IS 1254: 1991;IS 15476: 2004;IS 277: 2003;IS 412: 1975,generated_from_metadata,
fcq_is_12583_1988_03,bitumen roofing sheet,IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,roofing sheet,bitumen construction or composition,product_material,specific,canonical_product;material,IS 1254: 1991;IS 15476: 2004;IS 277: 2003;IS 412: 1975,generated_from_metadata,
fcq_is_12583_1988_04,roofing sheet for roofing,IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,roofing sheet,for roofing,product_application,specific,canonical_product;application,IS 1254: 1991;IS 15476: 2004;IS 277: 2003;IS 412: 1975,generated_from_metadata,
fcq_is_12583_1988_05,bitumen roofing sheet for roofing,IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,roofing sheet,bitumen product for roofing,material_application,specific,canonical_product;material;application,IS 1254: 1991;IS 15476: 2004;IS 277: 2003;IS 412: 1975,generated_from_metadata,
fcq_is_12583_1988_06,Supply roofing sheet meeting Indian Standard requirements for roofing; roofing; bitumen,IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,roofing sheet,roofing; roofing; bitumen,tender_sentence,specific,canonical_product;application;function;material,IS 1254: 1991;IS 15476: 2004;IS 277: 2003;IS 412: 1975,generated_from_metadata,
fcq_is_12583_1988_07,Need the Indian Standard covering CORRUGATED BITMEN ROOFING SHEETS,IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,roofing sheet,CORRUGATED BITMEN ROOFING SHEETS,natural_language,specific,title,IS 1254: 1991;IS 15476: 2004;IS 277: 2003;IS 412: 1975,generated_from_metadata,
fcq_is_12583_1988_08,"roofing sheet, roofing",IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,roofing sheet,roofing,boq_short,general_but_sufficient,canonical_product;application,IS 1254: 1991;IS 15476: 2004;IS 277: 2003;IS 412: 1975,generated_from_metadata,
fcq_is_12583_1988_09,corrugated sheet for roofing,IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,corrugated sheet,roofing,alias,general_but_sufficient,product_aliases;application,IS 1254: 1991;IS 15476: 2004;IS 277: 2003;IS 412: 1975,generated_from_metadata,
fcq_is_12583_1988_10,corrugated sheets for roofing,IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,corrugated sheets,roofing,alias,general_but_sufficient,product_aliases;application,IS 1254: 1991;IS 15476: 2004;IS 277: 2003;IS 412: 1975,generated_from_metadata,
fcq_is_12583_1988_11,roofing sheets for roofing,IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,roofing sheets,roofing,alias,general_but_sufficient,product_aliases;application,IS 1254: 1991;IS 15476: 2004;IS 277: 2003;IS 412: 1975,generated_from_metadata,
fcq_is_12592_2002_01,PRECAST CONCRETE MANHOLE COVER AND FRAME standard,IS 12592: 2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,cement,PRECAST CONCRETE MANHOLE COVER AND FRAME,product_only,specific,primary_subject,IS 455: 1989;IS 10360: 1982;IS 6908: 1991;IS 1726: 1991,generated_from_metadata,
fcq_is_12592_2002_02,cement required to carry sewage,IS 12592: 2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,cement,required to carry sewage,product_function,specific,canonical_product;function,IS 455: 1989;IS 10360: 1982;IS 6908: 1991;IS 1726: 1991,generated_from_metadata,
fcq_is_12592_2002_03,steel cement,IS 12592: 2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,cement,steel construction or composition,product_material,specific,canonical_product;material,IS 455: 1989;IS 10360: 1982;IS 6908: 1991;IS 1726: 1991,generated_from_metadata,
fcq_is_12592_2002_04,cement for sewerage,IS 12592: 2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,cement,for sewerage,product_application,specific,canonical_product;application,IS 455: 1989;IS 10360: 1982;IS 6908: 1991;IS 1726: 1991,generated_from_metadata,
fcq_is_12592_2002_05,steel cement for sewerage,IS 12592: 2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,cement,steel product for sewerage,material_application,specific,canonical_product;material;application,IS 455: 1989;IS 10360: 1982;IS 6908: 1991;IS 1726: 1991,generated_from_metadata,
fcq_is_12592_2002_06,Supply cement meeting Indian Standard requirements for sewerage; carry sewage; steel,IS 12592: 2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,cement,sewerage; carry sewage; steel,tender_sentence,specific,canonical_product;application;function;material,IS 455: 1989;IS 10360: 1982;IS 6908: 1991;IS 1726: 1991,generated_from_metadata,
fcq_is_12592_2002_07,Need the Indian Standard covering PRECAST CONCRETE MANHOLE COVER AND FRAME,IS 12592: 2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,cement,PRECAST CONCRETE MANHOLE COVER AND FRAME,natural_language,specific,title,IS 455: 1989;IS 10360: 1982;IS 6908: 1991;IS 1726: 1991,generated_from_metadata,
fcq_is_12592_2002_08,"cement, sewerage",IS 12592: 2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,cement,sewerage,boq_short,general_but_sufficient,canonical_product;application,IS 455: 1989;IS 10360: 1982;IS 6908: 1991;IS 1726: 1991,generated_from_metadata,
fcq_is_12592_2002_09,lime pozzolana mixture for sewerage,IS 12592: 2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,lime pozzolana mixture,sewerage,alias,general_but_sufficient,product_aliases;application,IS 455: 1989;IS 10360: 1982;IS 6908: 1991;IS 1726: 1991,generated_from_metadata,
fcq_is_12592_2002_10,lime-pozzolana concrete for sewerage,IS 12592: 2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,lime-pozzolana concrete,sewerage,alias,general_but_sufficient,product_aliases;application,IS 455: 1989;IS 10360: 1982;IS 6908: 1991;IS 1726: 1991,generated_from_metadata,
fcq_is_12592_2002_11,masonry cement for sewerage,IS 12592: 2002,PRECAST CONCRETE MANHOLE COVER AND FRAME,masonry cement,sewerage,alias,general_but_sufficient,product_aliases;application,IS 455: 1989;IS 10360: 1982;IS 6908: 1991;IS 1726: 1991,generated_from_metadata,
fcq_is_12701_1996_01,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS standard,IS 12701: 1996,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,water tank,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,product_only,specific,primary_subject,IS 804: 1967;IS 13356: 1992;IS 208: 1996;IS 12234: 1988,generated_from_metadata,
fcq_is_12701_1996_02,water tank for door and window construction,IS 12701: 1996,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,water tank,for door and window construction,product_application,specific,canonical_product;application,IS 804: 1967;IS 13356: 1992;IS 208: 1996;IS 12234: 1988,generated_from_metadata,
fcq_is_12701_1996_03,Supply water tank meeting Indian Standard requirements for door and window construction,IS 12701: 1996,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,water tank,door and window construction,tender_sentence,specific,canonical_product;application,IS 804: 1967;IS 13356: 1992;IS 208: 1996;IS 12234: 1988,generated_from_metadata,
fcq_is_12701_1996_04,Need the Indian Standard covering ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,IS 12701: 1996,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,water tank,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,natural_language,specific,title,IS 804: 1967;IS 13356: 1992;IS 208: 1996;IS 12234: 1988,generated_from_metadata,
fcq_is_12701_1996_05,"water tank, door and window construction",IS 12701: 1996,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,water tank,door and window construction,boq_short,general_but_sufficient,canonical_product;application,IS 804: 1967;IS 13356: 1992;IS 208: 1996;IS 12234: 1988,generated_from_metadata,
fcq_is_12701_1996_06,tank for door and window construction,IS 12701: 1996,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,tank,door and window construction,alias,general_but_sufficient,product_aliases;application,IS 804: 1967;IS 13356: 1992;IS 208: 1996;IS 12234: 1988,generated_from_metadata,
fcq_is_12701_1996_07,water tanks for door and window construction,IS 12701: 1996,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,water tanks,door and window construction,alias,general_but_sufficient,product_aliases;application,IS 804: 1967;IS 13356: 1992;IS 208: 1996;IS 12234: 1988,generated_from_metadata,
